Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2010","2010","million USD","249067.280528","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2011","2011","million USD","13012.433304","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2012","2012","million USD","14707.514005","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2013","2013","million USD","15847.677919","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2014","2014","million USD","18211.929634","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2015","2015","million USD","18526.647641","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2016","2016","million USD","17195.853232","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2017","2017","million USD","18940.616295","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2018","2018","million USD","19310.019962","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2019","2019","million USD","20101.261675","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2020","2020","million USD","19226.260017","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","21202.10893","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2022","2022","million USD","22180.508768","A","Official figure"
"IC","Credit to Agriculture","002","Africa","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2023","2023","million USD","19978.342814","A","Official figure"
